"spp","k1","k2","safety","kobe","yield","yieldAav"
"brill",1.19667648116592,0.918368649668992,0.0265909658534316,0.56,1.02433190449714e-05,0
"brill",0.251354213920422,0.567359680426307,0.000594138723375817,0,0.000545360992939188,0
"brill",0.593865603441373,1.0790090309456,0.0114835104040442,0.48,0.0739435611446492,0.0419937200292686
"brill",0.0578305340604857,1.31277230253909,0.000777063421475005,0,0.000328002161359689,0
"brill",0.989171280059963,0.581586242420599,0.987090144921423,0.76,0.0157442992463546,0
"brill",0.467202789383009,1.12541712226812,0.000708969317711963,0.04,0.571901247778147,0.143211414008825
"brill",0.284353722352535,0.0307915481971577,0.932792422391556,0.76,0.728785189399598,0.00593671584845818
"brill",0.939106970792636,1.33148778125178,0.959912189564687,0.76,0.591147279322587,0.0862748922338237
"brill",0.775077690370381,0.323188408627175,0.926210949057659,0.76,0.961081323471864,0.016842301757644
"brill",1.39191859296989,0.352116540307179,0.877456274744528,0.76,0.41634901593039,0.071334996585317
"brill",0.0875660724705085,0.287569355685264,0.0035362568063238,0.56,0.000956848234687655,0
"brill",1.40682456898503,0.237807631725445,0.940712988374201,0.76,0.739232035293584,0.0314542371715795
"brill",1.19698369468097,1.05082340771332,0.678517736006637,0.68,0.0831706233529922,0.0302141252713258
"brill",0.929002198507078,0.808562794234604,0.000946643826405096,0.2,0.166392478200949,0.0864591705985456
"brill",0.550636116648093,0.676228961907327,0.000729945261037082,0.12,0.00144543073448748,0
"brill",0.0871715540997684,0.265525081311353,0.000632567451526775,0,0.000246962930756079,0
"brill",0.2109598768875,0.282992656342685,0.000572581564840008,0,0.0031349982097802,0
"brill",0.602036615484394,0.239549647900276,0.859704390656375,0.76,0.857012797642573,0.0305775477331742
"brill",0.102017372497357,0.449081522994675,0.000698150080273097,0,0.000676732251910882,0
"brill",0.482365981210023,0.0556786560919136,0.000847817267926283,0.16,0.000425432760720419,0
"brill",0.600347976316698,1.26896923861932,0.0517897584737776,0.32,0.44761374041839,0.247941573391231
"brill",0.293178292689845,1.19883867830504,0.000738301108165194,0,0.000309693143813116,0
"brill",0.677220281562768,0.508374384138733,0.910708766281992,0.76,0.0703537172979953,0
"brill",0.890691034379415,0.98603506910149,0.933102737795249,0.76,0.929093582312995,0.0301605832599974
"brill",1.44709417840932,0.653770860400982,0.994051273171052,0.76,8.13465112795487e-05,0
"brill",0.387261850875802,0.000124496407806873,0.703634134478218,0.72,4.89055788583656e-05,0
"brill",0.314783779671416,0.483017664751969,0.741485482352649,0.52,1.1316971682363,0.0461243958146573
"brill",0.934332661796361,0.427018529735506,0.800309968633489,0.6,0.912509074560693,0.0480560437391578
"brill",1.45520863321144,0.156215779599734,0.873430180462891,0.76,3.48417832035893e-06,0
"brill",0.823307170649059,1.38193457387388,0.893115507465364,0.76,0.00247213587943277,0
"brill",0.700430988916196,0.0103930751793087,0.874159547498424,0.76,0.486243824144691,0.0117305100779949
"brill",0.302011708728969,1.14229622203857,0.000621831298523552,0,0.00151716951840003,0
"brill",0.0382713996805251,0.0149735163431615,0.848692998932373,0.76,1.13794546191573,0.00192779665511614
"brill",1.08883110329043,0.153190152836032,0.983164632337799,0.76,0.307041829885406,0.0205060185506845
"brill",1.35796501440927,1.09133568860125,0.901968212121733,0.76,0.816713398867617,0.0858032446456151
"brill",0.423676358303055,1.03843835333828,0.000752145490475182,0,0.373254118380034,0.108959664327671
"brill",0.604299603262916,0.951965766143985,0.364856239181547,0.64,0.00713138091461658,0
"brill",0.894206175114959,1.4504551315913,0.979651422494999,0.76,0.210685192963353,0.030261896486424
"brill",0.640119059826247,1.14901493384968,0.00274975177621729,0,0.041328396391681,0.0638811759505589
"brill",0.918166823568754,1.2900875096675,0.992602347070515,0.76,0.0496634896886574,0
"brill",0.763856081175618,1.4164266991429,0.173578983154351,0.04,0.989619716770777,0.317356816493394
"brill",0.641711729345843,0.770698818261735,0.0368368545647815,0.28,0.16332147404785,0.104071691404129
"brill",0.470942638465203,0.0353650934994221,0.905546207569251,0.76,0.871266502920028,0.0156201686526214
"brill",1.33484212425537,1.39624017302413,0.992711213103584,0.76,0.0365421118765232,0
"brill",0.345428527565673,1.31886043853592,0.00637147178327954,0.48,0.14419810977922,0.0752333098956053
"brill",1.32127297238912,1.17974518274423,0.000973818470203573,0.4,0.000168360193669359,0
"brill",0.0906337341293693,0.463694099220447,0.00115307622030357,0.2,0.00520165804932159,0
"brill",1.35544278204907,0.996403750497848,0.995798856864125,0.76,2.83123234258594e-05,0
"brill",0.992579359095544,1.37226367089897,0.975506251637902,0.76,0.14771115404517,0.0449598097094354
"brill",1.070689286571,0.598327438929118,0.98420570656108,0.76,0.00989292496013503,0
"brill",1.20698673126753,1.374322777614,0.968764385453338,0.76,0.014872588767432,0
"brill",0.0533008089987561,0.808739525265992,0.000790658274420174,0,0.000346818069977267,0
"brill",0.707071527605876,0.630992364487611,0.820672797551744,0.72,0.121018178086001,0.0319409859729399
"brill",1.00414452957921,0.109586483216844,0.934110179469571,0.76,0.631228174158941,0.017860970962973
"brill",1.14908658934291,0.802432600641623,0.981936160757591,0.76,0.0268279423254422,0
"brill",0.112169656902552,1.25862536556087,0.000785399141149527,0.12,0.0125720594448473,0.00520361509531282
"brill",1.49075482680928,0.378357551875524,0.962770875127628,0.76,0.308952541819556,0.0456130377099507
"brill",0.777282333467156,0.669821720570326,0.992947088616389,0.76,0.101648241917324,0.0164559757668505
"brill",1.24449251254555,0.153706771787256,0.977634869508159,0.76,0.246605308327529,0.0345731373756897
"brill",0.955042963265441,1.22365483932663,0.979485757071934,0.76,0.169103472060952,0.049167407923753
"brill",0.352268027840182,1.41122987971175,0.000970034694828559,0.24,0.104924218387152,0.122636729826978
"brill",1.13649059808813,0.59829140198417,0.828244484142488,0.68,0.599345942605723,0.0843596344581459
"brill",0.779167262138799,0.427288669394329,0.893792066050453,0.76,0.502254537901222,0.0395233481458789
"brill",0.363005492719822,0.733516696142033,0.000920223106372709,0,0.00132161917055858,0
"brill",0.0884455998893827,1.39312755642459,0.00068464086852369,0,0.000378794823125795,0
